EoverN_Td,xs_zdp_ar_effective,xs_zdp_ar_excitation,xs_zdp_ar_star_deexcitation,xs_zdp_ar_ionization,xs_zdp_ar_star_ionization
17.427639921279244,2.993523507508372e-14,4.166892247949464e-17,0.0,2.574091140535273e-17,6.334692637441842e-16
19.234432266126873,3.128114986519795e-14,5.237162259934368e-17,0.0,3.408962923275457e-17,7.039522664583025e-16
21.22854191797337,3.263560997791147e-14,6.501263715167895e-17,0.0,4.44458317015768e-17,7.793850364343825e-16
23.429388802745127,3.399580165526648e-14,7.976007716276529e-17,0.0,5.71000694070796e-17,8.598536587194718e-16
25.858406186881634,3.538119013971782e-14,9.706181256452789e-17,0.0,7.261588579174691e-17,9.468563677706432e-16
28.539249408307846,3.6785255300985993e-14,1.171121789112027e-16,0.0,9.13749015502026e-17,1.040422735818112e-15
31.49802624737183,3.8224549729449047e-14,1.4046268548283696e-16,0.0,1.1413442095575467e-16,1.1421840070554526e-15
34.76355118124846,3.96994034538871e-14,1.674978828309847e-16,0.0,1.4155638046063675e-16,1.2528329321142071e-15
38.36762599790258,4.1222881200886357e-14,1.9890032505398072e-16,0.0,1.7467464531234436e-16,1.3741590519720704e-15
42.34534950241132,4.2789962984605026e-14,2.3506007580620623e-16,0.0,2.142984269428548e-16,1.5066887210670666e-15
46.73545933176555,4.4408413253138414e-14,2.76684490598602e-16,0.0,2.6165984335024575e-16,1.6520955778125482e-15
51.58070920696339,4.6093918877524135e-14,3.2482644098966387e-16,0.0,3.185174635993548e-16,1.8130775699919094e-15
56.9282852963202,4.784956599793542e-14,3.8033872065075963e-16,0.0,3.865571339252645e-16,1.9914883854208634e-15
62.83026574480901,4.967108972227715e-14,4.438811526666284e-16,0.0,4.673628001622762e-16,2.1885678098258156e-15
69.34412784462513,5.157660790156932e-14,5.169829656307304e-16,0.0,5.638020912385733e-16,2.4082264517453787e-15
76.5333077861285,5.3570399122245076e-14,6.0085870021600915e-16,0.0,6.785961746465957e-16,2.653310915433154e-15
84.46781844037974,5.56486548232443e-14,6.964355492664485e-16,0.0,8.142937382634406e-16,2.925897268221037e-15
93.2249311896346,5.784091549895126e-14,8.063447353557512e-16,0.0,9.76189788468692e-16,3.2329390471016613e-15
102.88992844590194,6.013604893640054e-14,9.314454717058999e-16,0.0,1.1674001036683162e-15,3.576445575469248e-15
113.5569341860762,6.255749498897603e-14,1.0745411319524918e-15,0.0,1.394381799814248e-15,3.963957369745762e-15
125.3298305919315,6.510288559916621e-14,1.2371779858649097e-15,0.0,1.6621598177138661e-15,4.399758643394174e-15
138.32326972180826,6.77884629793347e-14,1.4221856297018766e-15,0.0,1.9783898897245568e-15,4.891866873453342e-15
152.66379006630436,7.06320086099765e-14,1.632828568666595e-15,0.0,2.352262112981801e-15,5.44976953257327e-15
168.4910488617097,7.363169756765294e-14,1.871111081591163e-15,0.0,2.791510006340789e-15,6.0800590100103836e-15
185.9591821622478,7.680619928469077e-14,2.140742980680681e-15,0.0,3.307786802509619e-15,6.794388321146057e-15
205.23830591638446,8.018700670234436e-14,2.4469699415243428e-15,0.0,3.916977637014967e-15,7.609171485895665e-15
226.5161726656534,8.37613658859218e-14,2.7912678640786855e-15,0.0,4.628689684180534e-15,8.531609893881042e-15
250.0,8.756158381591533e-14,3.17941405195502e-15,0.0,5.4624630851962255e-15,9.581317870861368e-15
