reaction_id,phase,equation,rate_model_key,energy_model_key,zone_filter,surface_filter,enabled,notes
G_AR_ION,gas,e + Ar -> Ar_plus + e + e,RM_E_AR_ION,EM_E_AR_ION,source|process,,true,Ground-state argon ionization from the Zenodo/LXCat-derived BOLSIG+ data file
G_AR_EXC_21,gas,e + Ar -> Ar + e,RM_E_AR_EXC_21,EM_E_AR_EXC_21,source|process,,true,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_22,gas,e + Ar -> Ar + e,RM_E_AR_EXC_22,EM_E_AR_EXC_22,source|process,,true,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_23,gas,e + Ar -> Ar + e,RM_E_AR_EXC_23,EM_E_AR_EXC_23,source|process,,true,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_24,gas,e + Ar -> Ar + e,RM_E_AR_EXC_24,EM_E_AR_EXC_24,source|process,,true,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_25,gas,e + Ar -> Ar + e,RM_E_AR_EXC_25,EM_E_AR_EXC_25,source|process,,true,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_26,gas,e + Ar -> Ar + e,RM_E_AR_EXC_26,EM_E_AR_EXC_26,source|process,,true,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_27,gas,e + Ar -> Ar + e,RM_E_AR_EXC_27,EM_E_AR_EXC_27,source|process,,true,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_28,gas,e + Ar -> Ar + e,RM_E_AR_EXC_28,EM_E_AR_EXC_28,source|process,,true,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_29,gas,e + Ar -> Ar + e,RM_E_AR_EXC_29,EM_E_AR_EXC_29,source|process,,true,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
G_AR_EXC_30,gas,e + Ar -> Ar + e,RM_E_AR_EXC_30,EM_E_AR_EXC_30,source|process,,true,Argon excitation represented as an electron-energy-loss channel; no excited-state density is evolved
